"Invalid email address","Adresse e-mail invalide"
"Invalid phone number","Numéro de téléphone invalide"
"Field is required","Ce champ est obligatoire"
"Minimum length is %1 characters","La longueur minimale est de %1 caractères"
"Maximum length is %1 characters","La longueur maximale est de %1 caractères"
"Discount Code","Code de réduction"
"Apply Discount","Appliquer la réduction"
"Discount","Réduction"
"No shipping methods available","Aucune méthode de livraison disponible"
"Please check your shipping address","Veuillez vérifier votre adresse de livraison"
"Shipping method required","Méthode de livraison requise"
"Please select a shipping method","Veuillez sélectionner une méthode de livraison"
"Payment Method","Mode de paiement"
"Select Payment Method","Sélectionnez un mode de paiement"
"Cash on Delivery","Paiement à la livraison"
"Credit Card","Carte de crédit"
"Bank Transfer","Virement bancaire"
"What is this?","Qu'est-ce que c'est ?"
"Learn more","En savoir plus"
"Terms and Conditions","Conditions générales"
"Privacy Policy","Politique de confidentialité"
"I agree to the %1","J'accepte les %1"
"Order Total","Total de la commande"
"items","articles"
"Item","Article"
"Description","Description"
"Options","Options"
"Color","Couleur"
"Size","Taille"
"Out of stock","En rupture de stock"
"In stock","En stock"
"Available","Disponible"
"Not available","Non disponible"
"Delivery to","Livraison à"
"Pick up at","Retrait à"
"Store Location","Emplacement du magasin"
"Store Hours","Horaires du magasin"
"Contact","Contact"
"Customer Service","Service client"
"Help","Aide"
"FAQ","FAQ"
"Track Order","Suivre ma commande"
"Order Number","Numéro de commande"
"Order Date","Date de commande"
"Order Status","Statut de la commande"
"Pending","En attente"
"Processing","En cours de traitement"
"Complete","Terminée"
"Canceled","Annulée"
"Refunded","Remboursée"
"Thank you for your order!","Merci pour votre commande !"
"Order confirmation sent to","Confirmation de commande envoyée à"
"You will receive a tracking number","Vous recevrez un numéro de suivi"
"Estimated arrival","Arrivée estimée"
"Business days","Jours ouvrables"
"Monday to Friday","Lundi au vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"
"Closed","Fermé"
"Open","Ouvert"
"Address Line 1","Ligne d'adresse 1"
"Address Line 2","Ligne d'adresse 2"
"City","Ville"
"State/Province","État/Province"
"Zip/Postal Code","Code postal"
"Optional","Facultatif"
"Save this address","Enregistrer cette adresse"
"Use as default","Utiliser par défaut"
"Billing Address","Adresse de facturation"
"Same as shipping address","Identique à l'adresse de livraison"
"Use different billing address","Utiliser une adresse de facturation différente"
"Company","Entreprise"
"VAT Number","Numéro de TVA"
"Additional Information","Informations supplémentaires"
"Order Notes","Notes de commande"
"Special instructions","Instructions spéciales"
"Gift Message","Message cadeau"
"Gift Wrap","Emballage cadeau"
"Add gift wrap","Ajouter un emballage cadeau"
"Gift wrap fee","Frais d'emballage cadeau"
"Checkout","Paiement"
"Secure Checkout","Paiement sécurisé"
"SSL Encrypted","Crypté SSL"
"Safe and Secure","Sûr et sécurisé"
"100% Secure Payment","Paiement 100% sécurisé"
"Money Back Guarantee","Garantie satisfait ou remboursé"
"Customer Support","Support client"
"Need help?","Besoin d'aide ?"
"Call us","Appelez-nous"
"Email us","Envoyez-nous un e-mail"
"Live Chat","Chat en direct"
"Shipping Information","Informations de livraison"
"Billing Information","Informations de facturation"
"Payment Information","Informations de paiement"
"Step","Étape"
"of","de"
"Validate","Valider"
"Confirm","Confirmer"
"Submit","Soumettre"
"Retry","Réessayer"
"Try again","Réessayer"
"Something went wrong","Une erreur s'est produite"
"Please try again later","Veuillez réessayer plus tard"
"Connection error","Erreur de connexion"
"Session expired","Session expirée"
"Please refresh the page","Veuillez actualiser la page"
"Refresh","Actualiser"
"Clear","Effacer"
"Reset","Réinitialiser"
"Save","Enregistrer"
"Saved","Enregistré"
"Updated","Mis à jour"
"Deleted","Supprimé"
"Added","Ajouté"
"Removed","Retiré"
"Selected","Sélectionné"
"Available methods","Méthodes disponibles"
"No methods available for your location","Aucune méthode disponible pour votre emplacement"
"Please select a different delivery address","Veuillez sélectionner une adresse de livraison différente"
"Calculating...","Calcul en cours..."
"Updating...","Mise à jour en cours..."
"Processing...","Traitement en cours..."
"Summary","Récapitulatif"
"Cart Summary","Récapitulatif du panier"
"Apply Coupon","Appliquer le coupon"
"Coupon Code","Code promo"
"Enter coupon code","Entrez votre code promo"
"Update Cart","Mettre à jour le panier"
"Continue to Checkout","Continuer vers le paiement"
"Estimated Total","Total estimé"
"Delivery Address","Adresse de livraison"
"Select Region","Sélectionnez une région"
"Telephone","Téléphone"
"Email Address","Adresse e-mail"
"Shipping Method","Méthode de livraison"
"No Payment method selected","Aucun mode de paiement sélectionné"
"Payment method","Mode de paiement"
"Billing & Payments","Facturation et paiements"
"Review Your Order","Vérifier votre commande"
"Place your order","Passer votre commande"
"Cart is empty","Le panier est vide"
"View Cart","Voir le panier"
"Shopping Cart","Panier d'achat"
"My Cart","Mon panier"
"Product","Produit"
"Unit Price","Prix unitaire"
"Quantity","Quantité"
"Total","Total"
"Remove Item","Retirer l'article"
"Edit Item","Modifier l'article"
"Move to Wishlist","Ajouter à la liste de souhaits"
"See Details","Voir les détails"
"Gift Options","Options cadeau"
"Special Offers","Offres spéciales"
"You Save","Vous économisez"
"Free Shipping","Livraison gratuite"
"Order Received","Commande reçue"
"Order Placed","Commande passée"
"Print Order","Imprimer la commande"
"Download Invoice","Télécharger la facture"
"Order Details","Détails de la commande"
"Shipping Details","Détails de livraison"
"Billing Details","Détails de facturation"
"Payment Details","Détails du paiement"
"You already have an account with us. Sign in or continue as guest.","Vous avez déjà un compte chez nous. Connectez-vous ou continuez en tant qu'invité."
"Sign In","Se connecter"
"Continue as Guest","Continuer en tant qu'invité"
"No Payment method selected","Aucun mode de paiement sélectionné"
"No payment methods available","Aucun mode de paiement disponible"
"Sorry, no quotes are available for this order at this time","Désolé, aucune méthode de livraison n'est disponible pour cette commande"
"Selectionnez votre mode de livraison pour la region de ","Sélectionnez votre mode de livraison pour la région de "
"Selectionnez votre mode de livraison","Sélectionnez votre mode de livraison"
"Mode de livraison","Mode de livraison"
"Retrait aujourd'hui possible","Retrait aujourd'hui possible"
"2-5 jours (préavis par téléphone)","2-5 jours (préavis par téléphone)"
"2-5 jours","2-5 jours"
"Retrait immediat","Retrait immédiat"
"Gratuit","Gratuit"
"Voir notre politique de livraison","Voir notre politique de livraison"
"Shipping Methods","Méthodes de livraison"
