"Mab Extensions","Extensions Mab"
"Menu","Menu"
"Navigation","Navigation"
"Link","Lien"
"Button","Bouton"
"Icon","Icône"
"Image","Image"
"Picture","Image"
"Photo","Photo"
"Video","Vidéo"
"Audio","Audio"
"File","Fichier"
"Document","Document"
"Text","Texte"
"Content","Contenu"
"Data","Données"
"Information","Information"
"Details","Détails"
"Specification","Spécification"
"Description","Description"
"Summary","Résumé"
"Overview","Aperçu"
"Introduction","Introduction"
"Conclusion","Conclusion"
"Result","Résultat"
"Output","Sortie"
"Input","Entrée"
"Parameter","Paramètre"
"Argument","Argument"
"Variable","Variable"
"Constant","Constante"
"Value","Valeur"
"Number","Nombre"
"Amount","Montant"
"Quantity","Quantité"
"Count","Compter"
"Size","Taille"
"Length","Longueur"
"Width","Largeur"
"Height","Hauteur"
"Depth","Profondeur"
"Weight","Poids"
"Volume","Volume"
"Area","Zone"
"Distance","Distance"
"Speed","Vitesse"
"Time","Temps"
"Duration","Durée"
"Period","Période"
"Interval","Intervalle"
"Frequency","Fréquence"
"Rate","Taux"
"Percentage","Pourcentage"
"Ratio","Ratio"
"Proportion","Proportion"
"Scale","Échelle"
"Level","Niveau"
"Degree","Degré"
"Grade","Grade"
"Class","Classe"
"Category","Catégorie"
"Group","Groupe"
"Set","Ensemble"
"Collection","Collection"
"List","Liste"
"Array","Tableau"
"Table","Tableau"
"Grid","Grille"
"Matrix","Matrice"
"Chart","Graphique"
"Graph","Graphique"
"Diagram","Diagramme"
"Map","Carte"
"Layout","Mise en page"
"Template","Modèle"
"Theme","Thème"
"Style","Style"
"Format","Format"
"Structure","Structure"
"Pattern","Motif"
"Design","Design"
"Appearance","Apparence"
"Look","Apparence"
"Feel","Sensation"
"Experience","Expérience"
"Interface","Interface"
"Screen","Écran"
"Page","Page"
"Window","Fenêtre"
"Dialog","Dialogue"
"Modal","Modal"
"Popup","Popup"
"Tooltip","Info-bulle"
"Alert","Alerte"
"Notification","Notification"
"Message","Message"
"Note","Note"
"Comment","Commentaire"
"Feedback","Commentaire"
"Review","Avis"
"Rating","Évaluation"
"Opinion","Opinion"
"Suggestion","Suggestion"
"Recommendation","Recommandation"
"Advice","Conseil"
"Tip","Conseil"
"Hint","Indice"
"Help","Aide"
"Support","Support"
"Assistance","Assistance"
"Service","Service"
"Feature","Fonctionnalité"
"Function","Fonction"
"Capability","Capacité"
"Ability","Capacité"
"Skill","Compétence"
"Knowledge","Connaissance"
"Understanding","Compréhension"
"Learning","Apprentissage"
"Training","Formation"
"Education","Éducation"
"Course","Cours"
"Lesson","Leçon"
"Tutorial","Tutoriel"
"Guide","Guide"
"Manual","Manuel"
"Documentation","Documentation"
"Instruction","Instruction"
"Direction","Direction"
"Step","Étape"
"Process","Processus"
"Procedure","Procédure"
"Method","Méthode"
"Technique","Technique"
"Approach","Approche"
"Strategy","Stratégie"
"Plan","Plan"
"Goal","Objectif"
"Target","Cible"
"Objective","Objectif"
"Purpose","But"
"Reason","Raison"
"Cause","Cause"
"Effect","Effet"
"Impact","Impact"
"Influence","Influence"
"Change","Changement"
"Modification","Modification"
"Update","Mise à jour"
"Revision","Révision"
"Version","Version"
"Release","Version"
"Edition","Édition"
"Model","Modèle"
"Type","Type"
"Kind","Genre"
"Sort","Sorte"
"Variety","Variété"
"Option","Option"
"Choice","Choix"
"Selection","Sélection"
"Pick","Choisir"
"Preference","Préférence"
"Setting","Paramètre"
"Configuration","Configuration"
"Setup","Configuration"
"Installation","Installation"
"Deployment","Déploiement"
"Implementation","Implémentation"
"Development","Développement"
"Production","Production"
"Testing","Test"
"Debug","Débogage"
"Error","Erreur"
"Bug","Bug"
"Issue","Problème"
"Problem","Problème"
"Trouble","Problème"
"Difficulty","Difficulté"
"Challenge","Défi"
"Solution","Solution"
"Answer","Réponse"
"Response","Réponse"
"Reply","Réponse"
"Feedback","Retour"
"Return","Retour"
"Back","Retour"
"Forward","Avant"
"Next","Suivant"
"Previous","Précédent"
"Continue","Continuer"
"Proceed","Procéder"
"Advance","Avancer"
"Progress","Progrès"
"Improvement","Amélioration"
"Enhancement","Amélioration"
"Optimization","Optimisation"
"Performance","Performance"
"Efficiency","Efficacité"
"Effectiveness","Efficacité"
"Quality","Qualité"
"Standard","Standard"
"Benchmark","Référence"
"Metric","Métrique"
"Measure","Mesure"
"Indicator","Indicateur"
"Signal","Signal"
"Sign","Signe"
"Symbol","Symbole"
"Code","Code"
"Key","Clé"
"Password","Mot de passe"
"Token","Jeton"
"ID","ID"
"Identifier","Identifiant"
"Reference","Référence"
"Link","Lien"
"Connection","Connexion"
"Relationship","Relation"
"Association","Association"
"Binding","Liaison"
"Attachment","Pièce jointe"
"Extension","Extension"
"Plugin","Plugin"
"Module","Module"
"Component","Composant"
"Element","Élément"
"Item","Article"
"Object","Objet"
"Entity","Entité"
"Record","Enregistrement"
"Entry","Entrée"
"Field","Champ"
"Column","Colonne"
"Row","Ligne"
"Cell","Cellule"
"Block","Bloc"
"Section","Section"
"Part","Partie"
"Piece","Pièce"
"Fragment","Fragment"
"Segment","Segment"
"Portion","Portion"
"Share","Partager"
"Division","Division"
"Unit","Unité"
"Measure","Mesure"
"Dimension","Dimension"
"Attribute","Attribut"
"Property","Propriété"
"Characteristic","Caractéristique"
"Quality","Qualité"
"Feature","Fonctionnalité"
"Aspect","Aspect"
"Factor","Facteur"
"Element","Élément"
"Component","Composant"
"Ingredient","Ingrédient"
"Material","Matériau"
"Substance","Substance"
"Content","Contenu"
"Matter","Matière"
"Subject","Sujet"
"Topic","Sujet"
"Theme","Thème"
"Issue","Question"
"Question","Question"
"Query","Requête"
"Request","Demande"
"Order","Commande"
"Command","Commande"
"Instruction","Instruction"
"Direction","Direction"
"Guidance","Orientation"
"Leadership","Leadership"
"Management","Gestion"
"Administration","Administration"
"Control","Contrôle"
"Supervision","Supervision"
"Oversight","Surveillance"
"Monitoring","Surveillance"
"Tracking","Suivi"
"Following","Suivi"
"Watching","Regarder"
"Observing","Observer"
"Viewing","Visualisation"
"Seeing","Voir"
"Looking","Regarder"
"Checking","Vérifier"
"Examining","Examiner"
"Inspecting","Inspecter"
"Reviewing","Réviser"
"Analyzing","Analyser"
"Studying","Étudier"
"Researching","Rechercher"
"Investigating","Enquêter"
"Exploring","Explorer"
"Discovering","Découvrir"
"Finding","Trouver"
"Locating","Localiser"
"Searching","Rechercher"
"Seeking","Chercher"
"Hunting","Chasser"
"Looking for","Chercher"
"Trying to find","Essayer de trouver"
"Attempting","Tenter"
"Trying","Essayer"
"Effort","Effort"
"Attempt","Tentative"
"Trial","Essai"
"Test","Test"
"Experiment","Expérience"
"Practice","Pratique"
"Exercise","Exercice"
"Activity","Activité"
"Action","Action"
"Operation","Opération"
"Function","Fonction"
"Work","Travail"
"Job","Travail"
"Task","Tâche"
"Assignment","Affectation"
"Project","Projet"
"Mission","Mission"
"Goal","Objectif"
"Aim","Objectif"
"Target","Cible"
"Destination","Destination"
"End","Fin"
"Finish","Finir"
"Complete","Complet"
"Done","Fait"
"Ready","Prêt"
"Prepared","Préparé"
"Set","Ensemble"
"Configured","Configuré"
"Established","Établi"
"Created","Créé"
"Made","Fait"
"Built","Construit"
"Developed","Développé"
"Designed","Conçu"
"Planned","Planifié"
"Organized","Organisé"
"Arranged","Organisé"
"Structured","Structuré"
"Formatted","Formaté"
"Styled","Stylé"
"Themed","Thématique"
"Customized","Personnalisé"
"Personalized","Personnalisé"
"Tailored","Sur mesure"
"Adapted","Adapté"
"Modified","Modifié"
"Changed","Changé"
"Altered","Modifié"
"Adjusted","Ajusté"
"Tuned","Réglé"
"Optimized","Optimisé"
"Improved","Amélioré"
"Enhanced","Amélioré"
"Upgraded","Mis à niveau"
"Updated","Mis à jour"
"Refreshed","Actualisé"
"Renewed","Renouvelé"
"Restored","Restauré"
"Recovered","Récupéré"
"Retrieved","Récupéré"
"Obtained","Obtenu"
"Acquired","Acquis"
"Gained","Gagné"
"Earned","Gagné"
"Achieved","Atteint"
"Accomplished","Accompli"
"Completed","Terminé"
"Finished","Fini"
"Ended","Terminé"
"Closed","Fermé"
"Stopped","Arrêté"
"Paused","En pause"
"Suspended","Suspendu"
"Interrupted","Interrompu"
"Delayed","Retardé"
"Postponed","Reporté"
"Scheduled","Programmé"
"Planned","Planifié"
"Arranged","Organisé"
"Organized","Organisé"
"Managed","Géré"
"Handled","Géré"
"Processed","Traité"
"Executed","Exécuté"
"Performed","Effectué"
"Carried out","Effectué"
"Implemented","Implémenté"
"Applied","Appliqué"
"Used","Utilisé"
"Employed","Employé"
"Utilized","Utilisé"
"Operated","Opéré"
"Functioned","Fonctionné"
"Worked","Travaillé"
"Ran","Couru"
"Executed","Exécuté"
"Launched","Lancé"
"Started","Commencé"
"Initiated","Initié"
"Begun","Commencé"
"Commenced","Commencé"
"Opened","Ouvert"
"Activated","Activé"
"Enabled","Activé"
"Turned on","Allumé"
"Switched on","Allumé"
"Powered on","Allumé"
"Booted","Démarré"
"Loaded","Chargé"
"Installed","Installé"
"Deployed","Déployé"
"Released","Publié"
"Published","Publié"
"Issued","Émis"
"Distributed","Distribué"
"Delivered","Livré"
"Sent","Envoyé"
"Transmitted","Transmis"
"Transferred","Transféré"
"Moved","Déplacé"
"Shifted","Déplacé"
"Relocated","Relocalisé"
"Migrated","Migré"
"Converted","Converti"
"Transformed","Transformé"
"Changed","Changé"
"Modified","Modifié"
"Edited","Édité"
"Revised","Révisé"
"Updated","Mis à jour"
"Corrected","Corrigé"
"Fixed","Réparé"
"Repaired","Réparé"
"Restored","Restauré"
"Recovered","Récupéré"
"Saved","Sauvegardé"
"Preserved","Préservé"
"Protected","Protégé"
"Secured","Sécurisé"
"Safeguarded","Protégé"
"Defended","Défendu"
"Guarded","Gardé"
"Monitored","Surveillé"
"Watched","Regardé"
"Observed","Observé"
"Tracked","Suivi"
"Followed","Suivi"
"Traced","Tracé"
"Recorded","Enregistré"
"Logged","Enregistré"
"Documented","Documenté"
"Noted","Noté"
"Marked","Marqué"
"Tagged","Étiqueté"
"Labeled","Étiqueté"
"Named","Nommé"
"Titled","Intitulé"
"Called","Appelé"
"Referred","Référé"
"Mentioned","Mentionné"
"Cited","Cité"
"Quoted","Cité"
"Referenced","Référencé"
"Linked","Lié"
"Connected","Connecté"
"Associated","Associé"
"Related","Lié"
"Attached","Attaché"
"Bound","Lié"
"Tied","Attaché"
"Joined","Rejoint"
"United","Uni"
"Combined","Combiné"
"Merged","Fusionné"
"Integrated","Intégré"
"Incorporated","Incorporé"
"Included","Inclus"
"Added","Ajouté"
"Inserted","Inséré"
"Placed","Placé"
"Put","Mis"
"Set","Ensemble"
"Positioned","Positionné"
"Located","Situé"
"Situated","Situé"
"Found","Trouvé"
"Discovered","Découvert"
"Identified","Identifié"
"Recognized","Reconnu"
"Detected","Détecté"
"Spotted","Repéré"
"Noticed","Remarqué"
"Seen","Vu"
"Viewed","Vu"
"Observed","Observé"
"Watched","Regardé"
"Looked at","Regardé"
"Examined","Examiné"
"Inspected","Inspecté"
"Checked","Vérifié"
"Reviewed","Révisé"
"Analyzed","Analysé"
"Studied","Étudié"
"Researched","Recherché"
"Investigated","Enquêté"
"Explored","Exploré"
"Gift Card","Carte Cadeau"
"Gift Card Account","Compte Carte Cadeau"
"Gift Card Code","Code de Carte Cadeau"
"Enter Gift Card Code","Entrez le code de votre carte cadeau"
"Apply Gift Card","Appliquer la Carte Cadeau"
"Remove Gift Card","Retirer la Carte Cadeau"
"Check Gift Card Balance","Vérifier le Solde"
"Gift Card Balance","Solde de la Carte Cadeau"
"Gift Card Amount","Montant de la Carte Cadeau"
"Applied Gift Cards","Cartes Cadeaux Appliquées"
"Gift Card Applied Successfully","Carte cadeau appliquée avec succès"
"Gift Card Removed Successfully","Carte cadeau retirée avec succès"
"Invalid Gift Card Code","Code de carte cadeau invalide"
"Gift Card Expired","Carte cadeau expirée"
"Gift Card Already Applied","Carte cadeau déjà appliquée"
"Insufficient Gift Card Balance","Solde de carte cadeau insuffisant"
"Enter a valid gift card code","Veuillez entrer un code de carte cadeau valide"
"Gift Card Code is required","Le code de carte cadeau est obligatoire"
"Use Gift Card","Utiliser une Carte Cadeau"
"Do you have a gift card?","Avez-vous une carte cadeau ?"
"Add Gift Card","Ajouter une Carte Cadeau"
"Gift Card Details","Détails de la Carte Cadeau"
"Current Balance","Solde Actuel"
"Original Amount","Montant Initial"
"Remaining Balance","Solde Restant"
"Applied Amount","Montant Appliqué"
"Gift Card will be applied to your order","La carte cadeau sera appliquée à votre commande"
"You saved %1 with gift cards","Vous avez économisé %1 avec vos cartes cadeaux"
"Gift Card Discount","Réduction Carte Cadeau"
"Pay with Gift Card","Payer avec une Carte Cadeau"
"Multiple gift cards can be applied","Plusieurs cartes cadeaux peuvent être appliquées"
"Gift Card Number","Numéro de Carte Cadeau"
"PIN Code","Code PIN"
"Verify Gift Card","Vérifier la Carte Cadeau"
"Gift Card Information","Informations sur la Carte Cadeau"
"How to use gift cards?","Comment utiliser les cartes cadeaux ?"
"Gift cards are applied at checkout","Les cartes cadeaux sont appliquées lors du paiement"
"Buy Gift Cards","Acheter des Cartes Cadeaux"
"Send Gift Card","Envoyer une Carte Cadeau"
"Redeem Gift Card","Utiliser une Carte Cadeau"
"Check Balance","Vérifier le Solde"
"Cancel Gift Card","Annuler la Carte Cadeau"
"One Step Checkout","Commande en Une Étape"
"Place Order","Passer la Commande"
"Proceed to Checkout","Finaliser la Commande"
"Shipping Address","Adresse de Livraison"
"Billing Address","Adresse de Facturation"
"Shipping Method","Mode de Livraison"
"Payment Method","Mode de Paiement"
"Order Summary","Récapitulatif de Commande"
"Subtotal","Sous-total"
"Shipping","Livraison"
"Tax","Taxe"
"Grand Total","Total Général"
"Discount","Réduction"
"Apply Discount Code","Appliquer un Code Promo"
"Enter discount code","Entrez votre code promo"
"Cancel","Annuler"
"Continue","Continuer"
"Email Address","Adresse Email"
"Password","Mot de Passe"
"First Name","Prénom"
"Last Name","Nom"
"Company","Société"
"Street Address","Adresse"
"City","Ville"
"State/Province","État/Province"
"Zip/Postal Code","Code Postal"
"Country","Pays"
"Phone Number","Numéro de Téléphone"
"Create an Account","Créer un Compte"
"Sign In","Se Connecter"
"Forgot Your Password?","Mot de passe oublié?"
"New Customer","Nouveau Client"
"Registered Customers","Clients Enregistrés"
"If you have an account, sign in with your email address.","Si vous avez un compte, connectez-vous avec votre adresse email."
"Create New Customer Account","Créer un Nouveau Compte Client"
"Personal Information","Informations Personnelles"
"Sign-in Information","Informations de Connexion"
"Confirm Password","Confirmer le Mot de Passe"
"Show Password","Afficher le Mot de Passe"
"Password Strength","Force du Mot de Passe"
"Weak","Faible"
"Medium","Moyen"
"Strong","Fort"
"Very Strong","Très Fort"
"Subscribe to Newsletter","S'abonner à la Newsletter"
"Delivery Date","Date de Livraison"
"Select Date","Sélectionner une Date"
"Select Time","Sélectionner une Heure"
"Delivery Instructions","Instructions de Livraison"
"Order Comments","Commentaires de Commande"
"Add a comment about your order","Ajouter un commentaire sur votre commande"
"Cash on Delivery","Paiement à la Livraison"
"Free Shipping","Livraison Gratuite"
"Estimated Shipping","Livraison Estimée"
"You have no items in your shopping cart.","Votre panier est vide."
"Shopping Cart","Panier d'Achat"
"View Cart","Voir le Panier"
"Edit","Modifier"
"Update","Mettre à Jour"
"Delete","Supprimer"
"Qty","Qté"
"Item","Article"
"Price","Prix"
"Total","Total"
"Update Shopping Cart","Mettre à Jour le Panier"
"Continue Shopping","Continuer mes Achats"
"Clear Shopping Cart","Vider le Panier"
"What's this?","Qu'est-ce que c'est?"
"Same as billing address","Identique à l'adresse de facturation"
"Ship Here","Livrer ici"
"New Address","Nouvelle Adresse"
"Please select a shipping address","Veuillez sélectionner une adresse de livraison"
"Save in address book","Enregistrer dans le carnet d'adresses"
"Loading...","Chargement..."
"Please wait...","Veuillez patienter..."
"Processing...","Traitement en cours..."
"Required Fields","Champs Obligatoires"
"This is a required field.","Ceci est un champ obligatoire."
"Please enter a valid email address.","Veuillez entrer une adresse email valide."
"Please enter a valid phone number.","Veuillez entrer un numéro de téléphone valide."
"Checkout","Commande"
"Payment Information","Informations de Paiement"
"Review & Payments","Vérification et Paiement"
"My Account","Mon Compte"
"My Orders","Mes Commandes"
"My Addresses","Mes Adresses"
"Account Information","Informations du Compte"
"Address Book","Carnet d'Adresses"
"My Wishlist","Ma Liste de Souhaits"
"Newsletter Subscriptions","Abonnements Newsletter"
"Logout","Déconnexion"
"Login","Connexion"
"Register","S'inscrire"
"Select Method","Sélectionner la méthode"
"Method Title","Titre de la méthode"
"Carrier Title","Transporteur"
