"File to Import","Fichier à importer"
"The method has been saved.","La méthode a été enregistrée."
"Make sure your file isn't more than %1M.","Assurez-vous que votre fichier ne dépasse pas %1M."
"We can't provide the upload settings right now.","Nous ne pouvons pas fournir les paramètres de téléchargement maintenant."
"-- Please Select --","-- Veuillez sélectionner --"
"%1 day(s)","%1 jour(s)"
"%1 - %2 day(s)","%1 - %2 jour(s)"
"Invalid entity","Entité invalide"
"Column <strong>%1</strong> not found","Colonne <strong>%1</strong> introuvable"
"Sum up rates","Additionner les tarifs"
"Choose the lowest rate","Choisir le tarif le plus bas"
"Choose the highest rate","Choisir le tarif le plus élevé"
Disable,Désactiver
Enable,Activer
None,Aucun
"Volumetric Weight","Poids volumétrique"
"Volumetric (V)","Volumétrique (V)"
"Volume Attributes","Attributs de volume"
"To add the options, please go to settings %1.","Pour ajouter les options, veuillez aller dans les paramètres %1."
"Import From Others","Importer depuis d'autres"
"Import Rates","Importer les tarifs"
"New Rate","Nouveau tarif"
"Incl. Tax","TTC"
"Click to change shipping method","Cliquez pour changer la méthode d'expédition"
"Sorry, no quotes are available for this order.","Désolé, aucun devis n'est disponible pour cette commande."
"Get shipping methods and rates","Obtenir les méthodes et tarifs d'expédition"
"You don't need to select a shipping method.","Vous n'avez pas besoin de sélectionner une méthode d'expédition."
"Address %1 <span>of %2</span>","Adresse %1 <span>sur %2</span>"
"Shipping To","Expédier à"
Change,Changer
"Shipping Method","Méthode d'expédition"
"Sorry, no quotes are available for this order right now.","Désolé, aucun devis n'est disponible pour cette commande pour le moment."
"Excl. Tax","HT"
Items,Articles
"Edit Items","Modifier les articles"
"Product Name","Nom du produit"
Qty,Qté
"Continue to Billing Information","Continuer vers les informations de facturation"
"Back to Select Addresses","Retour au choix des adresses"
"Import Shipping Rates","Importer les tarifs d'expédition"
Import,Importer
Cancel,Annuler
"Select Shipping Rates","Sélectionner les tarifs d'expédition"
"Add New Shipping Rate","Ajouter un nouveau tarif d'expédition"
"Edit Shipping Rate","Modifier le tarif d'expédition"
Save,Enregistrer
"Field ","Le champ "
" is required."," est requis."
"Mageplaza Table Rate Shipping","Expédition par tarif Mageplaza"
"Table Rate Shipping by Mageplaza","Expédition par tarif par Mageplaza"
"Select Yes to enable this module","Sélectionnez Oui pour activer ce module"
"Carrier Title","Titre du transporteur"
"Ship to Applicable Countries","Expédier vers les pays applicables"
"Ship to Specific Countries","Expédier vers des pays spécifiques"
"Include Virtual Products in Price Calculation","Inclure les produits virtuels dans le calcul du prix"
"Use Volumetric Weight Calculation","Utiliser le calcul du poids volumétrique"
"Select Weight Attribute","Sélectionner l'attribut de poids"
"Select Volumetric (V) Attribute","Sélectionner l'attribut volumétrique (V)"
"Support both input types: V or LxWxH","Prend en charge les deux types de saisie : V ou LxWxH"
"Attribute 1","Attribut 1"
"Attribute 2","Attribut 2"
"Attribute 3","Attribut 3"
"Shipping Factor","Facteur d'expédition"
"<a href=""https://en.wikipedia.org/wiki/Dimensional_weight"" target=""_blank"">What is shipping factor?</a>","<a href=""https://fr.wikipedia.org/wiki/Poids_volum%C3%A9trique"" target=""_blank"">Qu'est-ce que le facteur d'expédition ?</a>"
"Show Method if Not Applicable","Afficher la méthode si non applicable"
"Displayed Error Message","Message d'erreur affiché"
"Displayed on the View Cart Page, the Checkout Page","Affiché sur la page du panier et la page de commande"
"Sort Order","Ordre de tri"
"All Store Views","Toutes les vues boutique"
"Store View","Vue boutique"
"Are you sure to delete selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
"Change Status","Changer le statut"
"Customer Groups","Groupes de clients"
"Store Views","Vues boutique"
"Free Shipping","Livraison gratuite"
"Free Shipping ","Livraison gratuite "
"Pickup at store","Retrait en magasin"
"Store Pickup","Retrait en magasin"
"Select Store","Sélectionner le magasin"
"Choose a store","Choisir un magasin"
"Available Stores","Magasins disponibles"
"Store Information","Informations sur le magasin"
"Address","Adresse"
"Phone","Téléphone"
"Email","E-mail"
"Opening Hours","Horaires d'ouverture"
"Distance","Distance"
"km","km"
"Select your pickup location","Sélectionnez votre lieu de retrait"
"Pickup Location","Lieu de retrait"
"Picked Up at","Retiré à"
"Pickup Date","Date de retrait"
"Pickup Time","Heure de retrait"
"Delivery Date","Date de livraison"
"Delivery Time","Heure de livraison"
"Estimated Delivery","Livraison estimée"
"Delivery Instructions","Instructions de livraison"
"Shipping Address","Adresse de livraison"
"Billing Address","Adresse de facturation"
"Street Address","Adresse"
"Street Address 2","Adresse 2"
"City","Ville"
"State","Région"
"Zip/Postal Code","Code postal"
"Postcode","Code postal"
"Country","Pays"
"First Name","Prénom"
"Last Name","Nom"
"Company","Société"
"VAT Number","Numéro de TVA"
"Fax","Fax"
"Mobile","Mobile"
"Confirm Password","Confirmer le mot de passe"
"Password","Mot de passe"
"Sign In","Se connecter"
"Create Account","Créer un compte"
"Already have an account?","Vous avez déjà un compte ?"
"Don't have an account?","Vous n'avez pas de compte ?"
"Register","S'inscrire"
"Register to Create Account","S'inscrire pour créer un compte"
"Email Address","Adresse e-mail"
"Email Address *","Adresse e-mail *"
"Required Fields","Champs requis"
"* Required Fields","* Champs requis"
"Next","Suivant"
"Back","Retour"
"Submit","Soumettre"
"Update","Mettre à jour"
"Update Cart","Mettre à jour le panier"
"Update Shipping","Mettre à jour l'expédition"
"Apply","Appliquer"
"Apply Discount","Appliquer la réduction"
"Discount Code","Code de réduction"
"Enter discount code","Entrez le code de réduction"
"Add a discount code","Ajouter un code de réduction"
"Coupon Code","Code promo"
"Enter coupon code","Entrez le code promo"
"Have a coupon?","Vous avez un code promo ?"
"Click here to enter your code","Cliquez ici pour entrer votre code"
"Add a note to your order","Ajouter une note à votre commande"
"Order Notes","Notes de commande"
"Order Comment","Commentaire de commande"
"Additional Information","Informations complémentaires"
"Payment Method","Méthode de paiement"
"Payment Methods","Moyens de paiement"
"Payment","Paiement"
"Payment Information","Informations de paiement"
"Review Order","Vérifier la commande"
"Review & Payments","Vérification et paiement"
"Order Summary","Résumé de la commande"
"Order Total","Total de la commande"
"Total","Total"
"Subtotal","Sous-total"
"Shipping","Livraison"
"Shipping Total","Total livraison"
"Shipping & Handling","Livraison et traitement"
"Tax","TVA"
"Tax Total","Total TVA"
"Discount","Réduction"
"Discount Amount","Montant de la réduction"
"Gift Card","Carte cadeau"
"Gift Wrapping","Emballage cadeau"
"Qty:","Qté :"
"Price:","Prix :"
"Item","Article"
"Items in your cart","Articles dans votre panier"
"Empty Cart","Panier vide"
"Your cart is empty","Votre panier est vide"
"Continue Shopping","Continuer vos achats"
"View Cart","Voir le panier"
"View and Edit Cart","Voir et modifier le panier"
"Edit your cart","Modifier votre panier"
"Product","Produit"
"Products","Produits"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter à comparer"
"Add to Wishlist","Ajouter à la liste de souhaits"
"Remove Item","Supprimer l'article"
"Remove Product","Supprimer le produit"
"Remove","Supprimer"
"Remove from Cart","Supprimer du panier"
"Are you sure you want to remove this item?","Êtes-vous sûr de vouloir supprimer cet article ?"
"Out of Stock","Rupture de stock"
"In Stock","En stock"
"Availability","Disponibilité"
"Only %1 left","Seulement %1 restant"
"Low Stock","Stock faible"
"Add Products to Cart","Ajouter des produits au panier"
"Add All to Cart","Tout ajouter au panier"
"Adding...","Ajout en cours..."
"Added","Ajouté"
"not available","non disponible"
"available","disponible"
"Loading...","Chargement..."
"Please wait...","Veuillez patienter..."
"Processing...","Traitement en cours..."
"Saving...","Enregistrement en cours..."
"Sending...","Envoi en cours..."
"Success","Succès"
"Error","Erreur"
"Warning","Avertissement"
"Information","Information"
"Close","Fermer"
"Close Window","Fermer la fenêtre"
"OK","OK"
"Yes","Oui"
"No","Non"
"Confirm","Confirmer"
"Cancel","Annuler"
