sku,name,country_of_manufacture,description,short_description,weight,additional_attributes,categories,product_type,attribute_set_code,product_websites,product_online,tax_class_name,visibility,price,qty,is_in_stock,variantes,PrepareConfiguration,configurable_variations
1140669842,"CORBEILLE A COURRIERS EN PLASTIQUE GRIS MORANDI ""TECHNO"" REF: 70798",ALGERIA,"Corbeille à courriers empilable GRIS MORANDI permet une organisation optimale de vos papiers au quotidien.
 
 Son système empilable facilite le classement multi-niveaux et maximise l’espace de travail. Fabriqué en plastique résistant, il garantit une longue durée d’utilisation.
 
 - Empilable et modulable
 - Compatible format A4
 - Design moderne et couleurs tendance
 - Idéal pour bureaux professionnels et usage domestique","Corbeille à courriers GRIS MORANDI, empilable pour organiser vos dossiers et papiers. Solution pratique et élégante pour bureau moderne.",0.2625,"mgs_brand=TECHNO,techno_ref=70798,color=GRIS MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669842,color=GRIS MORANDI",
1140669841,"CORBEILLE A COURRIERS EN PLASTIQUE BLANC MORANDI ""TECHNO"" REF: 70797",ALGERIA,"Corbeille à courriers empilable BLANC MORANDI permet une organisation optimale de vos papiers au quotidien.
 
 Son système empilable facilite le classement multi-niveaux et maximise l’espace de travail. Fabriqué en plastique résistant, il garantit une longue durée d’utilisation.
 
 - Empilable et modulable
 - Compatible format A4
 - Design moderne et couleurs tendance
 - Idéal pour bureaux professionnels et usage domestique","Corbeille à courriers BLANC MORANDI, empilable pour organiser vos dossiers et papiers. Solution pratique et élégante pour bureau moderne.",0.2625,"mgs_brand=TECHNO,techno_ref=70797,color=BLANC MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669841,color=BLANC MORANDI",
1140669858,"CORBEILLE A PAPIER GM 11L SAUMON MORANDI ""TECHNO"" REF: 70917",ALGERIA,"La corbeille à papier SAUMON MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier SAUMON MORANDI au design moderne et aux couleurs élégantes. Disponible en 11L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.2753333,"mgs_brand=TECHNO,techno_ref=70917,color=SAUMON MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669858,color=SAUMON MORANDI",
1140669857,"CORBEILLE A PAPIER GM 11L ROSE MORANDI ""TECHNO"" REF: 70916",ALGERIA,"La corbeille à papier ROSE MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier ROSE MORANDI au design moderne et aux couleurs élégantes. Disponible en 11L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.2753333,"mgs_brand=TECHNO,techno_ref=70916,color=ROSE MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669857,color= ROSE MORANDI",
1140669856,"CORBEILLE A PAPIER GM 11L MARRON MORANDI ""TECHNO"" REF: 70915",ALGERIA,"La corbeille à papier MARRON MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier MARRON MORANDI au design moderne et aux couleurs élégantes. Disponible en 11L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.2753333,"mgs_brand=TECHNO,techno_ref=70915,color=MARRON MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669856,color=MARRON MORANDI",
1140669855,"CORBEILLE A PAPIER GM 11L VERT MORANDI ""TECHNO"" REF: 70914",ALGERIA,"La corbeille à papier VERT MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier VERT MORANDI au design moderne et aux couleurs élégantes. Disponible en 11L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.2753333,"mgs_brand=TECHNO,techno_ref=70914,color=VERT MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669855,color=VERT MORANDI",
1140669854,"CORBEILLE A PAPIER GM 11L GRIS MORANDI ""TECHNO"" REF: 70913",ALGERIA,"La corbeille à papier GRIS MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier GRIS MORANDI au design moderne et aux couleurs élégantes. Disponible en 11L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.2753333,"mgs_brand=TECHNO,techno_ref=70913,color=GRIS MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669854,color=GRIS MORANDI",
1140669853,"CORBEILLE A PAPIER GM 11L BLANC MORANDI ""TECHNO"" REF: 70912",ALGERIA,"La corbeille à papier BLANC MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier BLANC MORANDI au design moderne et aux couleurs élégantes. Disponible en 11L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.2753333,"mgs_brand=TECHNO,techno_ref=70912,color=BLANC MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669853,color=BLANC MORANDI",
1140669852,"CORBEILLE A PAPIER GM 16L SAUMON MORANDI ""TECHNO"" REF: 70911",ALGERIA,"La corbeille à papier SAUMON MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier SAUMON MORANDI au design moderne et aux couleurs élégantes. Disponible en 16L idéale pour bureau, école ou maison.
 Plastique résistant et finition soignée.",0.31,"mgs_brand=TECHNO,techno_ref=70911,color=SAUMON MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669852,color=SAUMON MORANDI",
1140669851,"CORBEILLE A PAPIER GM 16L ROSE MORANDI ""TECHNO"" REF: 70906",ALGERIA,"La corbeille à papier ROSE MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier ROSE MORANDI au design moderne et aux couleurs élégantes. Disponible en 16L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.31,"mgs_brand=TECHNO,techno_ref=70906,color=ROSE MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669851,color=ROSE MORANDI",
1140669850,"CORBEILLE A PAPIER GM 16L MARRON MORANDI ""TECHNO"" REF: 70905",ALGERIA,"La corbeille à papier MARRON MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier MARRON MORANDI au design moderne et aux couleurs élégantes. Disponible en 16L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.31,"mgs_brand=TECHNO,techno_ref=70905,color=MARRON MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669850,color=MARRON MORANDI",
1140669849,"CORBEILLE A PAPIER GM 16L VERT MORANDI ""TECHNO"" REF: 70904",ALGERIA,"La corbeille à papier VERT MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier VERT MORANDI au design moderne et aux couleurs élégantes. Disponible en 16L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.31,"mgs_brand=TECHNO,techno_ref=70904,color=VERT MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669849,color=VERT MORANDI",
1140669848,"CORBEILLE A PAPIER GM 16L GRIS MORANDI ""TECHNO"" REF: 70903",ALGERIA,"La corbeille à papier GRIS MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier GRIS MORANDI au design moderne et aux couleurs élégantes. Disponible en 16L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.31,"mgs_brand=TECHNO,techno_ref=70903,color=GRIS MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669848,color=GRIS MORANDI",
1140669847,"CORBEILLE A PAPIER GM 16L BLANC MORANDI ""TECHNO"" REF: 70902",ALGERIA,"La corbeille à papier BLANC MORANDI combine praticité et élégance. Conçue en plastique robuste, elle offre une excellente résistance à l’usage quotidien.
 
 Disponible en deux capacités (11L et 16L), elle s’adapte parfaitement aux espaces professionnels, scolaires ou domestiques.
 
 Sa palette de couleurs modernes apporte une touche esthétique discrète à votre environnement de travail.
 
 - Design aéré et moderne
 - Matière durable et facile à nettoyer
 - Légère et stable
 - Idéale pour bureau, chambre et salle d’étude","Corbeille à papier BLANC MORANDI au design moderne et aux couleurs élégantes. Disponible en 16L idéale pour bureau, école ou maison. Plastique résistant et finition soignée.",0.31,"mgs_brand=TECHNO,techno_ref=70902,color=BLANC MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669847,color=BLANC MORANDI",
1140665583,"ORGANISEUR DE BUREAU NEAT AVEC DÉVIDOIR ""TECHNO"" REF: 70666",ALGERIA,"L’organiseur de bureau NEAT permet de ranger facilement stylos, accessoires et fournitures.
 Ses multiples compartiments et son support pour ruban adhésif offrent une solution pratique pour garder votre espace de travail bien organisé.
 
 - Compartiments multiples
 - Support pour ruban adhésif
 - Plastique durable
 - Idéal pour bureau, école ou maison","Organiseur de bureau NEAT avec plusieurs compartiments et support pour ruban adhésif, parfait pour garder un bureau propre et organisé, Disponible en 16 couleur",0.3425,"mgs_brand=TECHNO,techno_ref=70666",,simple,,base,2,Taxable Goods,search,0,999,1,,,
1140676527,"CAISSE DE STOCKAGE PLASTIQUE PROBOX VIOLET PASTEL ""TECHNO"" REF: 70977",ALGERIA,"La PROBOX 52L est une caisse de rangement solide conçue pour le stockage et la logistique. Fabriquée en polypropylène (PP) durable, elle résiste aux chocs et à une utilisation intensive.
 Avec ses dimensions 53 × 43 × 29 cm, elle offre une grande capacité tout en restant facile à manipuler et à empiler.
 
 - Capacité : 52 L
 - Plastique PP résistant
 - Compatible contact alimentaire
 - Empilable pour optimiser l’espace
 - Idéale pour stockage et transport","Boîte de rangement PROBOX VIOLET PASTEL 52L robuste et empilable, idéale pour le stockage et le transport. Fabriquée en plastique PP résistant, compatible contact alimentaire.",2.6,"mgs_brand=TECHNO,techno_ref=70977,color=VIOLET PASTEL",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140676527,color=VIOLET PASTEL",
1140676526,"CAISSE DE STOCKAGE PLASTIQUE PROBOX VERT PASTEL ""TECHNO"" REF: 70976",ALGERIA,"La PROBOX 52L est une caisse de rangement solide conçue pour le stockage et la logistique. Fabriquée en polypropylène (PP) durable, elle résiste aux chocs et à une utilisation intensive.
 Avec ses dimensions 53 × 43 × 29 cm, elle offre une grande capacité tout en restant facile à manipuler et à empiler.
 
 - Capacité : 52 L
 - Plastique PP résistant
 - Compatible contact alimentaire
 - Empilable pour optimiser l’espace
 - Idéale pour stockage et transport","Boîte de rangement PROBOX VERT PASTEL 52L robuste et empilable, idéale pour le stockage et le transport. Fabriquée en plastique PP résistant, compatible contact alimentaire.",2.6,"mgs_brand=TECHNO,techno_ref=70976,color=VERT PASTEL",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140676526,color=VERT PASTEL",
1140676525,"CAISSE DE STOCKAGE PLASTIQUE PROBOX ROSE PASTEL ""TECHNO"" REF: 70975",ALGERIA,"La PROBOX 52L est une caisse de rangement solide conçue pour le stockage et la logistique. Fabriquée en polypropylène (PP) durable, elle résiste aux chocs et à une utilisation intensive.
 Avec ses dimensions 53 × 43 × 29 cm, elle offre une grande capacité tout en restant facile à manipuler et à empiler.
 
 - Capacité : 52 L
 - Plastique PP résistant
 - Compatible contact alimentaire
 - Empilable pour optimiser l’espace
 - Idéale pour stockage et transport","Boîte de rangement PROBOX ROSE PASTEL 52L robuste et empilable, idéale pour le stockage et le transport. Fabriquée en plastique PP résistant, compatible contact alimentaire.",2.6,"mgs_brand=TECHNO,techno_ref=70975,color=ROSE PASTEL",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140676525,color=ROSE PASTEL",
1140676518,"CAISSE DE STOCKAGE PLASTIQUE PROBOX JAUNE PASTEL ""TECHNO"" REF: 70974",ALGERIA,"La PROBOX 52L est une caisse de rangement solide conçue pour le stockage et la logistique. Fabriquée en polypropylène (PP) durable, elle résiste aux chocs et à une utilisation intensive.
 Avec ses dimensions 53 × 43 × 29 cm, elle offre une grande capacité tout en restant facile à manipuler et à empiler.
 
 - Capacité : 52 L
 - Plastique PP résistant
 - Compatible contact alimentaire
 - Empilable pour optimiser l’espace
 - Idéale pour stockage et transport","Boîte de rangement PROBOX JAUNE PASTEL 52L robuste et empilable, idéale pour le stockage et le transport. Fabriquée en plastique PP résistant, compatible contact alimentaire.",2.6,"mgs_brand=TECHNO,techno_ref=70974,color=JAUNE PASTEL",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140676518,color=JAUNE PASTEL",
1140676516,"CAISSE DE STOCKAGE PLASTIQUE PROBOX BLEU PASTEL ""TECHNO"" REF: 70972",ALGERIA,"La PROBOX 52L est une caisse de rangement solide conçue pour le stockage et la logistique. Fabriquée en polypropylène (PP) durable, elle résiste aux chocs et à une utilisation intensive.
 Avec ses dimensions 53 × 43 × 29 cm, elle offre une grande capacité tout en restant facile à manipuler et à empiler.
 
 - Capacité : 52 L
 - Plastique PP résistant
 - Compatible contact alimentaire
 - Empilable pour optimiser l’espace
 - Idéale pour stockage et transport","Boîte de rangement PROBOX BLEU PASTEL 52L robuste et empilable, idéale pour le stockage et le transport. Fabriquée en plastique PP résistant, compatible contact alimentaire.",2.6,"mgs_brand=TECHNO,techno_ref=70972,color=BLEU PASTEL",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140676516,color=BLEU PASTEL",
1140676541,"COUVERCLE CAISSE DE STOCKAGE PLASTIQUE PROBOX VIOLET PASTEL ""TECHNO"" REF: 70993",ALGERIA,"Le couvercle PROBOX est conçu pour fermer et protéger les caisses de rangement PROBOX. Fabriqué en polypropylène (PP) résistant, il assure une protection efficace contre la poussière et les saletés pendant le stockage ou le transport.
 
 Sa conception solide garantit un ajustement parfait avec les caisses PROBOX, permettant un empilage sécurisé et une meilleure organisation.
 
 - Plastique PP robuste
 - Protection contre poussière et saletés
 - Compatible avec caisses PROBOX
 - Idéal pour stockage et transport","Couvercle PROBOX VIOLET PASTEL robuste en plastique PP, conçu pour protéger et fermer les caisses PROBOX 52L lors du stockage ou du transport.",0.52,"mgs_brand=TECHNO,techno_ref=70993,color=VIOLET PASTEL",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140676541,color=VIOLET PASTEL",
1140676540,"COUVERCLE CAISSE DE STOCKAGE PLASTIQUE PROBOX VERT PASTEL ""TECHNO"" REF: 70992",ALGERIA,"Le couvercle PROBOX est conçu pour fermer et protéger les caisses de rangement PROBOX. Fabriqué en polypropylène (PP) résistant, il assure une protection efficace contre la poussière et les saletés pendant le stockage ou le transport.
 
 Sa conception solide garantit un ajustement parfait avec les caisses PROBOX, permettant un empilage sécurisé et une meilleure organisation.
 
 - Plastique PP robuste
 - Protection contre poussière et saletés
 - Compatible avec caisses PROBOX
 - Idéal pour stockage et transport","Couvercle PROBOX VERT PASTEL robuste en plastique PP, conçu pour protéger et fermer les caisses PROBOX 52L lors du stockage ou du transport.",0.52,"mgs_brand=TECHNO,techno_ref=70992,color=VERT PASTEL",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140676540,color=VERT PASTEL",
1140676539,"COUVERCLE CAISSE DE STOCKAGE PLASTIQUE PROBOX ROSE PASTEL ""TECHNO"" REF: 70989",ALGERIA,"Le couvercle PROBOX est conçu pour fermer et protéger les caisses de rangement PROBOX. Fabriqué en polypropylène (PP) résistant, il assure une protection efficace contre la poussière et les saletés pendant le stockage ou le transport.
 
 Sa conception solide garantit un ajustement parfait avec les caisses PROBOX, permettant un empilage sécurisé et une meilleure organisation.
 
 - Plastique PP robuste
 - Protection contre poussière et saletés
 - Compatible avec caisses PROBOX
 - Idéal pour stockage et transport","Couvercle PROBOX ROSE PASTEL robuste en plastique PP, conçu pour protéger et fermer les caisses PROBOX 52L lors du stockage ou du transport.",0.52,"mgs_brand=TECHNO,techno_ref=70989,color=ROSE PASTEL",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140676539,color=ROSE PASTEL",
