"Add to Cart","Ajouter au Panier"
"Promo Code","Code Promo"
"Gift Card","Carte Cadeau"
"Gift Card Code","Code Carte Cadeau"
"Apply Gift Card","Appliquer la Carte Cadeau"

"Qty","Qté"
"Quantity","Quantité"
"SKU","SKU"
"Availability","Disponibilité"
"Condition","État"
"Brand","Marque"
"Model","Modèle"
"Weight","Poids"
"Dimensions","Dimensions"
"Color","Couleur"
"Size","Taille"
"Material","Matériau"
"Style","Style"
"Type","Type"
"Features","Caractéristiques"
"Specifications","Spécifications"
"Description","Description"
"Details","Détails"
"Additional Information","Informations Supplémentaires"
"Related Products","Produits Associés"
"You may also like","Vous pourriez aussi aimer"
"Recently Viewed","Récemment Consultés"
"Customers who bought this item also bought","Les clients qui ont acheté cet article ont aussi acheté"
"Frequently Bought Together","Fréquemment Achetés Ensemble"

"Billing Address","Adresse de Facturation"
"Shipping Address","Adresse de Livraison"
"Payment Information","Informations de Paiement"
"Order Summary","Résumé de la Commande"
"Subtotal","Sous-total"
"Shipping","Livraison"
"Tax","Taxe"
"Total","Total"
"Grand Total","Total Général"
"Place Order","Passer la Commande"
"Review & Payments","Révision et Paiements"
"Shipping Methods","Méthodes de Livraison"
"Payment Methods","Méthodes de Paiement"

"First Name","Prénom"
"Last Name","Nom de Famille"
"Email Address","Adresse E-mail"
"Password","Mot de Passe"
"Confirm Password","Confirmer le Mot de Passe"
"Phone Number","Numéro de Téléphone"
"Date of Birth","Date de Naissance"
"Gender","Sexe"
"Company","Entreprise"
"Street Address","Adresse"
"City","Ville"
"State/Province","État/Province"
"ZIP/Postal Code","Code Postal"
"Country","Pays"

"Order Number","Numéro de Commande"
"Order Date","Date de Commande"
"Order Status","Statut de la Commande"
"Order Total","Total de la Commande"
"Track Your Order","Suivre Votre Commande"
"Order History","Historique des Commandes"
"Reorder","Recommander"
"Return","Retourner"
"Cancel","Annuler"

"Welcome","Bienvenue"
"Thank you","Merci"
"Congratulations","Félicitations"
"Sorry","Désolé"
"Oops","Oups"
"Something went wrong","Quelque chose s'est mal passé"
"Please try again","Veuillez réessayer"
"Page not found","Page non trouvée"
"Access denied","Accès refusé"
"Session expired","Session expirée"
"Invalid request","Demande invalide"
"Service unavailable","Service indisponible"
"Maintenance mode","Mode maintenance"

"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"

"January","Janvier"
"February","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"July","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Décembre"
